"Longitude","Latitude","Elevation","Weekday","Month","Time","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_FOREST","Land.Use_INDUSTRIAL","Land.Use_MILITARY RESERVATION","Land.Use_RESIDENTIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN","Location.Setting_URBAN AND CENTER CITY","max_PM2.5","max_NO2","max_O3","max_PM10","max_CO","max_SO2"
-80.785683,35.2401,234,5,4,848,0,0,0,0,0,1,0,0,1,12.5,10.4,0.039,22,0.3,0.5
-121.894898,37.348497,19,3,9,272,0,1,0,0,0,0,0,0,1,11.2,30.6,0.012,31,0.5,0.6
-119.807717,39.525083,1380,1,4,95,0,0,0,0,0,1,0,0,1,3,50.6,0.05,8,0.4,1.9
-72.902871,41.3014,2,6,2,1493,0,1,0,0,0,0,0,0,1,15.5,31.8,0.026,22.75,0.4,1.4
-119.807717,39.525083,1380,7,10,290,0,0,0,0,0,1,0,0,1,5.15,18,0.037,8,0.3,0.9
-80.038611,42.14175,192,5,8,239,0,1,0,0,0,0,0,1,0,7.3,15,0.038,8,0.3,0
-77.013178,38.921847,56,6,3,1535,0,1,0,0,0,0,0,0,1,3,8.7,0.05,10,0.2,1.3
-80.785683,35.2401,234,7,5,1606,0,0,0,0,0,1,0,0,1,13.6,16.3,0.047,20,0.4,1.1
-81.3625,28.596389,27,4,2,1134,0,1,0,0,0,0,0,0,1,5.7,17.5,0.025,10,0.8,0
-124.17949,40.77678,22,3,3,1175,0,0,0,0,0,1,0,1,0,5.8,10.2,0.03,10,0.3,0
-115.48307,32.67618,2.29519867897034,5,11,673,0,0,0,0,0,1,0,1,0,24.8,41.2,0.041,133,2.3,2.3
-117.32554,34.510961,913,6,2,765,0,0,0,0,0,1,0,1,0,4.4,20.2,0.04,13,0.6,0.3
-81.3625,28.596389,27,1,2,1502,0,1,0,0,0,0,0,0,1,3.9,10.3,0.034,9,0.4,0.7
-119.77321,36.78538,100,5,8,225,0,1,0,0,0,0,0,0,1,4.6,6.6,0.058,41,0.1,1
-72.982778,43.608056,170,5,12,701,0,1,0,0,0,0,0,0,1,2.15,9.6,0.025,6,0.1,0.2
-86.114444,39.810833,233,1,6,158,0,0,0,0,0,1,0,1,0,4.7,21,0.045,9.5,0.2,6.3
-84.50404,39.12886,249,6,9,611,0,1,0,0,0,0,0,0,1,5.1,14,0.036,9.66666666666667,0.2,1
-119.77321,36.78538,100,6,3,72,0,1,0,0,0,0,0,0,1,11.6333333333333,43.3,0.06,29,0.6,0.9
-77.013178,38.921847,56,1,6,543,0,1,0,0,0,0,0,0,1,10.15,9.6,0.053,19,0.2,1.5
-119.77321,36.78538,100,2,4,1188,0,1,0,0,0,0,0,0,1,6.46666666666667,22.4,0.056,22.5,0.3,0.6
-90.587611,41.530011,222,1,3,74,0,0,0,0,0,1,0,0,1,9.7,17.6,0.047,36,0.2,2.1
