stature,footlength,tibialheight
1560,246,430
1665,249,475
1711,265,458
1660,265,463
1572,247,429
1707,270,474
1644,241,443
1671,255,464
1521,234,419
1590,245,421
1707,270,470
1668,260,464
1654,234,451
1666,263,451
1599,238,450
1673,249,448
1647,257,434
1678,256,470
1679,253,473
1615,235,424
1517,233,385
1674,250,461
1623,231,441
1668,251,454
1644,258,470
1579,242,443
1446,223,349
1620,236,441
1684,251,465
1619,258,458
1592,246,434
1655,252,433
1723,269,466
1677,245,465
1654,246,441
1634,238,450
1683,251,495
1552,234,418
1617,237,458
1588,249,425
1641,248,440
1685,259,466
1656,247,449
1603,255,435
1608,250,443
1664,250,471
1619,244,468
1620,252,462
1720,257,484
1582,257,446
1720,244,469
1720,256,460
1701,269,480
1627,238,416
1536,229,402
1546,233,411
1654,243,456
1605,247,435
1630,242,449
1612,230,435
1757,272,519
1670,258,458
1632,220,431
1635,250,427
1682,257,440
1661,250,419
1596,243,421
1596,235,415
1665,262,439
1617,248,432
1555,244,434
1578,226,398
1581,247,398
1698,257,439
1554,230,400
1756,253,472
1566,238,401
1651,259,459
1585,240,409
1657,254,446
1719,265,453
1822,267,489
1649,253,444
1687,253,440
1698,254,475
1530,238,415
1581,243,413
1609,242,456
1644,259,434
1548,238,424
1606,239,408
1642,239,421
1622,237,404
1669,246,431
1745,268,483
1495,215,378
1493,232,399
1641,252,448
1607,247,424
1560,226,406
1625,246,420
1670,230,424
1616,239,412
1582,229,421
1730,261,474
1501,224,394
1515,225,380
1576,257,415
1628,247,446
1586,231,401
1737,275,466
1576,235,426
1626,249,440
1604,230,430
1673,250,441
1642,234,432
1538,236,399
1574,237,426
1637,239,426
1620,247,418
1733,268,480
1526,255,399
1732,258,470
1624,245,428
1507,222,381
1560,229,411
1640,263,452
1675,257,446
1526,235,396
1623,241,425
1584,234,409
1671,259,444
1552,228,402
1633,242,423
1530,225,399
1606,243,431
1617,250,451
1645,247,420
1681,263,466
1655,260,435
1626,244,440
1635,238,450
1572,241,419
1608,250,425
1662,247,431
1582,237,401
1701,256,476
1602,223,404
1549,243,408
1561,234,414
1677,250,479
1594,243,419
1628,243,420
1549,230,383
1559,240,390
1619,253,408
1690,242,449
1698,248,424
1705,256,443
1625,242,423
1666,252,449
1559,217,391
1595,236,419
1634,234,435
1643,252,452
1667,236,444
1661,263,446
1560,243,424
1610,262,428
1610,235,423
1682,260,449
1604,237,423
1540,228,400
1638,234,433
1656,250,421
